Empresa;CUIT;Expte;Calle;Nro;Piso;Dpto;CPA;Localidad;Provincia;Telefono;RegComercializacion;RegFabricacion;Dispo;FechaDispo;Vence
INDUSTRIA FUEGUINA DE RELOJERIA ELECTRONICA S.A.;30-59553463-8;EXPENACOM 5795/2017;DOMINGO SARMIENTO;2920;          ;    ;V9420GIV;RIO GRANDE;TIERRA DEL FUEGO, ANTARTIDA E ISLAS DEL ATLANTICO SUR;(011  )5282-7400;30-2956;02-668;8025 APN-DNAYRT#ENACOM/2024;21/08/2024;21/08/2027
INDUSTRIA FUEGUINA DE RELOJERIA ELECTRONICA S.A.;30-59553463-8;EXPENACOM 5795/2017;OLAZABAL;1515;12°       ;1201;C1428DGG;CABA;CIUDAD DE BUENOS AIRES;(011  )5282-7400;30-2956;02-668;8025 APN-DNAYRT#ENACOM/2024;21/08/2024;21/08/2027
INDUSTRIAL & NAVAL GROUP S.A.;30-71014050-9;EXPCNC 10441/2007;MENDOZA PEDRO DE;1751;9;C   ;C1169AAB;CABA;CIUDAD DE BUENOS AIRES;;30-1670;0;4227 GI/2010;17/12/2010;17/12/2013
INDUSTRIAS ITACEN SOCIEDAD ANONIMA;30-71134881-2;EX- -APN-REYS#ENACOM 91157519/2025;12;231;          ;    ;1900;HERNANDEZ;BUENOS AIRES;(011  )5272-7000;30-3039;0;858 APN-DNLAYR#ENACOM/2025;26/09/2025;26/09/2028
INDUSTRIAS JOHN DEERE ARGENTINA SOCIEDAD ANONIMA;30-50372023-6;EXPCNC 2631/2010;AVDA. DEL LIBERTADOR;498;12º       ;    ;C1001ABR;CABA;CIUDAD DE BUENOS AIRES;(011  )4515-9201;30-3051;0;3439 APN-DNLAYR#ENACOM/2025;10/11/2025;10/11/2028
INDUSTRIAS QUIMICAS ESSEN S.R.L.;30-67622650-4;EXPCNC 3687/2014;ORTIZ;2324;          ;    ;1852;BURZACO;BUENOS AIRES;(011  )4238-0082;30-1979;0;1165 GI/2014;15/04/2014;15/04/2017
INDUSTRIAS QUIMICAS ESSEN S.R.L.;30-67622650-4;EXPCNC 3687/2014;TUCUMAN;540;15;E   ;1049;CABA;CIUDAD DE BUENOS AIRES;(011  )4238-0082;30-1979;0;1165 GI/2014;15/04/2014;15/04/2017
INDUSTRIAS SICA S.A.I.C.;30-50289158-4;EXPCNC 3701/2006;25 DE MAYO;1200;          ;    ;B1824NMY;LANUS;BUENOS AIRES;;30-1572;0;2340 GI/2006;16/06/2006;16/06/2009
INDUSTRIAS SICA S.A.I.C.;30-50289158-4;EXPCNC 3701/2006;RODRIGUEZ PEÑA NICOLAS;145;2;A   ;C1020ADC;CIUDAD AUTONOMA BUENOS AIRES;CIUDAD DE BUENOS AIRES;(011  )5227-5000;30-1572;0;2340 GI/2006;16/06/2006;16/06/2009
INDUSTRIAS UNICAS DE COMUNICACIONES S.R.L.;30-70813441-0;EXPCNC 806/2003;RABANAL INTE FRANCISCO;2846;          ;    ;C1437FQP;CIUDAD AUTONOMA BUENOS AIRES;CIUDAD DE BUENOS AIRES;(011  )4919-5098;30-1444;02-483;1503 GI/2003;25/03/2003;25/03/2006
INDYCO S.R.L.;30-62005780-7;EXPCNT 18261/1994;FERNANDEZ MORENO BALDOMERO;3054;          ;    ;C1406HIN;CIUDAD AUTONOMA BUENOS AIRES;CIUDAD DE BUENOS AIRES;(011  )4612-5524;30-1240;02-445;63 CN/1995;12/01/1995;12/01/1998
INFAS S.R.L.;33-61105269-9;EX- -APN-SDYME#ENACOM 54304130/2018;AVIADOR LOCATELLI;2098;          ;    ;5012;CORDOBA;CORDOBA;(0351 )465 -0128;30-2469;0;6723 APN-DNAYRT#ENACOM/2018;02/11/2018;02/11/2021
INFORMATICA FUEGUINA S.A.;30-71158891-0;EXPCNC 4973/2011;BRASIL;731;          ;    ;C1154AAK;CABA;CIUDAD DE BUENOS AIRES;(011  )4309-2014;30-2233;02-560;6639 -E-APN-ENACOM#MCO/2016;14/09/2016;14/09/2019
INFORMATICA Y TELECOMUNICACIONES S.A.;33-61583160-9;;SARMIENTO;744;          ;    ;5500;MENDOZA;MENDOZA;;30-948;0;4124 SU/1989;06/07/1989;06/07/1992
INFORMATION TECHNOLOGY S.A.;30-70938883-1;EX- -APN-ALYAT#ENACOM 56139171/2026;VELEZ SARSFIELD;172;          ;    ;5000;CORDOBA;CORDOBA;(011  )4770-9490;30-3113;0;8911 DNLAYR#ENACOM/2026;16/07/2026;01/01/2099
INFOSELL S.A.;30-66029179-9;EXPCNC E 3339/1997;LOLA MORA;322;          ;    ;1842;MONTE GRANDE;BUENOS AIRES;(011  )4326-3380;30-1213;0;1020 GI/1997;02/06/1997;02/06/2000
INFOSELL S.A.;30-66029179-9;EXPCNC E 3339/1997;SAENZ PEÑA PRES ROQUE;615;4;419;C1035AAB;CIUDAD AUTONOMA BUENOS AIRES;CIUDAD DE BUENOS AIRES;(011  )4326-3380;30-1213;0;1020 GI/1997;02/06/1997;02/06/2000
INFOTEL ARGENTINA S.A.;30-70089334-7;EXPCNC 7723/2002;SUIPACHA;868;2;    ;C1008AAR;CABA;CIUDAD DE BUENOS AIRES;(011  )9999-9999;30-1435;0;467 GI/2003;17/01/2003;17/01/2006
INGEFOT S.A.;30-64108517-7;;SAN MARTIN;575;1;C   ;1004;CIUDAD DE BUENOS AIRES;CAPITAL FEDERAL;;30-794;0;265 GI/1989;19/09/1989;19/09/1992
INGENICO DO BRASIL LIMITADA SUCURSAL ARGENTINA;30-70718565-8;EXPCNC 5185/2006;FLORIDA;375;5;D   ;C1005AAG;CIUDAD AUTONOMA BUENOS AIRES;CIUDAD DE BUENOS AIRES;(011  )4394-1046;30-1611;0;295 GI/2007;19/01/2007;19/01/2010
INGENIERIA COMERCIAL S.R.L.;30-71210288-4;EXPCNC 17255/2014;OTERO;375;          ;    ;1427;CABA;CIUDAD DE BUENOS AIRES;;30-2430;0;2921 APN-DNAYRT#ENACOM/2018;06/06/2018;06/06/2021
INGENIERIA COMERCIAL S.R.L.;30-71210288-4;EXPCNC 17255/2014;TRIUNVIRATO;252;          ;    ;1834;TEMPERLEY;BUENOS AIRES;(011  )4243-7729;30-2430;0;2921 APN-DNAYRT#ENACOM/2018;06/06/2018;06/06/2021
INGENIERIA OBRAS Y SERVICIOS TISICO S.A.;30-69138027-7;EXPENACOM 11356/2017;CALLAO;237;          ;    ;C1022AAC;CABA;CIUDAD DE BUENOS AIRES;;30-2345;0;462 -APN-DNAYRT#ENACOM/2017;27/07/2017;17/01/2021
INGENIERIA OBRAS Y SERVICIOS TISICO S.A.;30-69138027-7;EXPENACOM 11356/2017;MONTEVIDEO E/5 Y 6;356;          ;    ;1923;BERISSO;BUENOS AIRES;(0221 )678 -0000;30-2345;0;462 -APN-DNAYRT#ENACOM/2017;27/07/2017;17/01/2021
INGENIERO JORGE CESETTI S.R.L.;30-70926793-7;EXPENACOM 14484/2016;BUENOS AIRES;444;          ;    ;Q8300BCJ;NEUQUEN;NEUQUEN;(0299 )442 -5377;30-2927;02-662;3297 APN-DNAYRT#ENACOM/2024;04/04/2024;04/04/2027
INGENIERO JORGE CESETTI S.R.L.;30-70926793-7;EXPENACOM 14484/2016;LIBERTAD;860;3;D   ;1012;CABA;CIUDAD DE BUENOS AIRES;;30-2927;02-662;3297 APN-DNAYRT#ENACOM/2024;04/04/2024;04/04/2027
INGENIEROS ELECTRONICOS ASOCIADOS S.R.L.;33-62704588-9;EXPCNC 11860/2012;PIERES;266;          ;B   ;C1408HDD;CABA;CIUDAD DE BUENOS AIRES;(011  )00  -0000;30-1884;0;4656 GI/2012;27/11/2012;27/11/2015
INGENIEROS ELECTRONICOS ASOCIADOS S.R.L.;33-62704588-9;EXPCNC 11860/2012;SEBASTIAN ELCANO;3251;          ;    ;B7603GZC;MAR DEL PLATA;BUENOS AIRES;(0223 )489 -6000;30-1884;0;4656 GI/2012;27/11/2012;27/11/2015
INGEPAR S.R.L.;30-67135211-0;EXPCNC 491/2005;SAN MARTIN;1364;          ;    ;P3600MVB;FORMOSA;FORMOSA;(0371 )43  -3475;30-1248;0;4697 GI/1995;27/06/1995;27/06/1998
INGEPAR S.R.L.;30-67135211-0;EXPCNC 491/2005;VER EL EXPTE.;1;          ;    ;1001;CIUDAD DE BUENOS AIRES;CAPITAL FEDERAL;;30-1248;0;4697 GI/1995;27/06/1995;27/06/1998
INGRAM MICRO ARGENTINA S.A.;30-70200470-1;EXPCNC 8997/2008;USPALLATA;3878;          ;    ;C1437JCZ;CIUDAD AUTONOMA BUENOS AIRES;CIUDAD DE BUENOS AIRES;(011  )4909-9100;30-1714;0;3348 GI/2008;19/09/2008;19/09/2011
INGYTEC S.R.L.;30-60032144-3;EXPCNTMESA E 16265/1995;WHITE;1970;          ;    ;C1407IJN;CIUDAD AUTONOMA BUENOS AIRES;CIUDAD DE BUENOS AIRES;(011  )4683-6657;30-1260;0;7193 GI/1995;06/11/1995;06/11/1998
INHAR INGENIERIA HOSPITALARIA S.A.;30-70829083-8;EX- -APN-REYS#ENACOM 50203461/2025;JOSE INGENIEROS;2718;          ;    ;1643;BECCAR;BUENOS AIRES;(011  )5263-0920;30-3010;0;2637 APN-DNAYRT#ENACOM/2025;16/07/2025;16/07/2028
INHAR INGENIERIA HOSPITALARIA S.A.;30-70829083-8;EX- -APN-REYS#ENACOM 50203461/2025;LAVALLE;2024;          ;    ;1033;CABA;CIUDAD DE BUENOS AIRES;;30-3010;0;2637 APN-DNAYRT#ENACOM/2025;16/07/2025;16/07/2028
INITIUM S.R.L.;30-71486732-2;EX- -APN-SDYME#ENACOM 48064086/2018;PABLO PIZZURNO;965;          ;    ;1686;HURLINGHAM;BUENOS AIRES;(011  )6196-5950;30-2460;0;5523 APN-DNAYRT#ENACOM/2018;03/10/2018;03/10/2021
INITIUM S.R.L.;30-71486732-2;EX- -APN-SDYME#ENACOM 48064086/2018;PARANA;597;2;12;1015;CABA;CIUDAD DE BUENOS AIRES;(011  )6196-5950;30-2460;0;5523 APN-DNAYRT#ENACOM/2018;03/10/2018;03/10/2021
INLITES S.A.;30-70846590-5;EX- -APN-REYS#ENACOM 57016889/2021;CABELLO;3352;3;    ;1425;CABA;CIUDAD DE BUENOS AIRES;(011  )4717-5200;30-2723;0;3191 APN-DNAYRT#ENACOM/2021;03/08/2021;03/08/2024
INNER S.R.L.;30-67609840-9;EXPCNC E 3339/1997;RAFAELA;3591;          ;    ;C1407GUA;CIUDAD DE BUENOS AIRES;CAPITAL FEDERAL;(011  )4637-4518;30-1288;02-477;4724 GI/2000;27/04/2000;27/04/2003
INNER S.R.L.;30-67609840-9;EXPCNC E 3339/1997;RAFAELA;3591;          ;    ;C1407GUA;CIUDAD DE BUENOS AIRES;CIUDAD DE BUENOS AIRES;(011  )4637-4518;30-1288;02-477;4724 GI/2000;27/04/2000;27/04/2003
INSIGHT GROUP S.A.;30-71173813-0;EX- -APN-REYS#ENACOM 56436355/2025;SARMIENTO;412;1º        ;108;1041;CABA;CIUDAD DE BUENOS AIRES;(011  )5464-4100;30-3012;0;2636 APN-DNAYRT#ENACOM/2025;16/07/2025;16/07/2028
INSTAL ELECTRIC TELECOMUNICACIONES S.A.;30-70925941-1;EXPCNC 3636/2010;RIVADAVIA BERNARDINO;8348;          ;    ;C1407DYS;CIUDAD AUTONOMA BUENOS AIRES;CIUDAD DE BUENOS AIRES;;30-1781;0;2203 GI/2010;28/06/2010;28/06/2013
INSTAL ELECTRIC TELECOMUNICACIONES S.A.;30-70925941-1;EXPCNC 3636/2010;YRIGOYEN HIPOLITO;3853;          ;    ;B1650IFE;GENERAL SAN MARTIN;BUENOS AIRES;(011  )4006-4112;30-1781;0;2203 GI/2010;28/06/2010;28/06/2013
INSUMOS PARA PC S.R.L.;30-71061567-1;EX- -APN-ALYAT#ENACOM 27920786/2026;GRAL. JUAN B. BUSTOS;880;          ;    ;5000;CORDOBA;CORDOBA;(0351 )678 -8390;30-3086;0;7146 APN-DNLAYR#ENACOM/2026;04/05/2026;
INTAFACE INTERNATIONAL S.A.;30-70757570-7;EXPCNC 8963/2004;COLPAYO;56;7;C   ;C1405AVB;CIUDAD AUTONOMA BUENOS AIRES;CIUDAD DE BUENOS AIRES;(011  )4901-6660;30-1507;0;229 GI/2005;18/01/2005;18/01/2008
INTAFACE INTERNATIONAL S.A.;30-70757570-7;EXPCNC 8963/2004;YRIGOYEN PRESIDENTE HIPOLITO;1534;6;    ;C1089AAD;CIUDAD AUTONOMA BUENOS AIRES;CIUDAD DE BUENOS AIRES;(011  )4901-6660;30-1507;0;229 GI/2005;18/01/2005;18/01/2008
INTCOMEX ARGENTINA S.R.L.;30-70715140-0;EXPCNC 11508/2007;CALIFORNIA;1456;          ;    ;C1289AAD;CIUDAD AUTONOMA BUENOS AIRES;CIUDAD DE BUENOS AIRES;(011  )4016-6100;30-1675;0;4021 GI/2011;06/10/2011;06/10/2014
INTEC S.R.L.;30-62923314-4;EX- -APN-REYS#ENACOM 86896009/2023;CIUDAD DE LA PAZ;1965;3;B   ;1428;CABA;CIUDAD DE BUENOS AIRES;;30-2881;0;6976 -APN-DNAYRT#ENACOM/2023;29/08/2023;29/08/2026
INTEC S.R.L.;30-62923314-4;EX- -APN-REYS#ENACOM 86896009/2023;JUJUY;1412;3;31;5000;CORDOBA;CORDOBA;(0351 )489 -8827;30-2881;0;6976 -APN-DNAYRT#ENACOM/2023;29/08/2023;29/08/2026
INTEGRATED OUTSOURCING SERVICES S.A.;33-70050068-9;EXPCNC 9303/2005;CERRITO;1070;3;71;C1010AAV;CIUDAD AUTONOMA BUENOS AIRES;CIUDAD DE BUENOS AIRES;(011  )4815-6302;30-1553;0;4675 GI/2005;30/11/2005;30/11/2008
INTEL SOFTWARE DE ARGENTINA S.A.;30-70944960-1;EXPCNC 11487/2011;JUAN DIAZ DE SOLIS;1330;5;    ;B1638AEC;VICENTE LOPEZ;BUENOS AIRES;(011  )5898-8905;30-1854;0;8509 APN-DNAYRT#ENACOM/2023;31/10/2023;01/01/2099
INTEL SOFTWARE DE ARGENTINA S.A.;30-70944960-1;EXPCNC 11487/2011;MAIPU;1300;          ;    ;C1006ACT;CABA;CIUDAD DE BUENOS AIRES;(011  )999 -9999;30-1854;0;8509 APN-DNAYRT#ENACOM/2023;31/10/2023;01/01/2099
INTELAV S.R.L.;30-63584291-8;EXPCNC 1728/2003;LARRALDE CRISOLOGO;4251;          ;    ;C1430AJA;CIUDAD AUTONOMA BUENOS AIRES;CIUDAD DE BUENOS AIRES;(011  )4591-8566;30-972;0;363 GI/1997;28/01/1997;28/01/2000
INTELBRAS S.A. INDUSTRIA DE TELECOMUNICACAO ELECTRONICA BRASILEIRA;30-70701809-3;EXPCNC E 3404/2000;DE MAYO;1144;5;J   ;C1085ABO;CIUDAD AUTONOMA BUENOS AIRES;CIUDAD DE BUENOS AIRES;(011  )4382-2041;30-1367;0;290 GI/2012;27/01/2012;27/01/2015
INTEMA COMUNICACIONES S.A.;33-70859408-9;EXPCNC 1186/2007;CHACABUCO;646;          ;    ;C1069AAN;CABA;CIUDAD DE BUENOS AIRES;;30-2006;0;6971 APN-DNAYRT#ENACOM/2023;29/08/2023;29/08/2026
INTEPLA S.R.L.;30-59165868-5;EXPCNTMESA E 10324/1995;CALLE 14;1286;          ;    ;B1900DWB;LA PLATA;BUENOS AIRES;(0221 )425 -6565;30-2331;0;11728 APN-DNAYRT#ENACOM/2023;28/12/2023;28/12/2026
INTEPLA S.R.L.;30-59165868-5;EXPCNTMESA E 10324/1995;PASEO COLON;797;3;B   ;C1063ACH;CIUDAD AUTONOMA BUENOS AIRES;CIUDAD DE BUENOS AIRES;(011  )4345-4440;30-2331;0;11728 APN-DNAYRT#ENACOM/2023;28/12/2023;28/12/2026
INTER-SYSTEMS S.A.;30-66164328-1;EXPCNC 7669/2006;ESMERALDA;989;2;    ;C1007ABK;CIUDAD AUTONOMA BUENOS AIRES;CIUDAD DE BUENOS AIRES;(011  )4314-3800;30-1591;0;3767 GI/2006;11/09/2006;11/09/2009
INTERCONNECT S.A.;33-68825614-9;EXPCNC 11907/2008;ALEM LEANDRO NICEFORO;449;1;    ;C1003AAE;CIUDAD AUTONOMA BUENOS AIRES;CIUDAD DE BUENOS AIRES;(011  )5578-3033;30-1718;0;3642 GI/2008;17/10/2008;17/10/2011
INTERISA ARGENTINA S.A.;30-67789562-0;EXPCNT E 27075/1996;ROOSEVELT FRANKLIN D;2261;8;C   ;C1428BOG;CIUDAD AUTONOMA BUENOS AIRES;CIUDAD DE BUENOS AIRES;(011  )4793-4061;30-1263;0;516 GI/1996;29/01/1996;29/01/1999
INTERLAMP S.A.;30-64143264-0;;GAVILAN;2589;          ;    ;C1416ADA;CIUDAD AUTONOMA BUENOS AIRES;CIUDAD DE BUENOS AIRES;(011  )4581-5577;30-1052;0;225 CN/1991;24/05/1991;24/05/1994
INTERNATIONAL OPERATION S.R.L.;30-70791081-6;EXPCNC 3557/2010;LA PLATA;1987;PB        ;    ;C1250AAJ;CIUDAD AUTONOMA BUENOS AIRES;CIUDAD DE BUENOS AIRES;(011  )4922-4801;30-1789;0;3557 GI/2010;15/07/2010;15/07/2013
INTERNET POP MEDIA S.A.;30-71231700-7;EX- -APN-SDYME#ENACOM 26965680/2017;JUNCAL;2254;4;A   ;C1125ABD;CABA;CIUDAD DE BUENOS AIRES;(011  )5368-0540;30-2382;0;1646 APN-DNAYRT#ENACOM/2017;24/11/2017;24/11/2020
INTERTECNO S.R.L.;30-68586315-0;EXPCNC 2685/2008;BELGRANO MANUEL;1209;          ;    ;C1093AAA;CIUDAD AUTONOMA BUENOS AIRES;CIUDAD DE BUENOS AIRES;(011  )4383-4714;30-1690;0;1505 GI/2008;02/05/2008;02/05/2011
INTERTEL S.R.L.;30-61010510-2;;SAN JOSE;334;3;    ;C1076AAH;CIUDAD AUTONOMA BUENOS AIRES;CIUDAD DE BUENOS AIRES;;30-1175;0;2525 CN/1993;13/05/1993;13/05/1996
INTERVET ARGENTINA S.A.;30-69137338-6;EX- -APN-REYS#ENACOM 139831961/2024;TALCAHUANO;750;6;    ;1013;CABA;CIUDAD DE BUENOS AIRES;(011  )6090-7000;30-2983;0;260 APN-DNAYRT#ENACOM/2025;26/01/2025;26/01/2028
INTERWAVE S.A.;30-71488371-9;EX- -APN-SDYME#ENACOM 24374082/2017;TERRADA;5625;          ;    ;C1419DMG;CABA;CIUDAD DE BUENOS AIRES;(011  )4621-4749;30-2796;02-629;3320 APN-DNAYRT#ENACOM/2022;15/06/2022;15/06/2025
INVITROGEN ARGENTINA S.A.;30-70724875-7;EX- -APN-SDYME#ENACOM 4840121/2018;FRANCISCO ITURRI;1474;          ;    ;C1427AED;CABA;CIUDAD DE BUENOS AIRES;(011  )4556-2808;30-2852;0;5058 APN-DNLAYR#ENACOM/2026;26/02/2026;
IR COMUNICACIONES S.A.;30-59607351-0;EXPCNC 2766/2004;LIMA;575;          ;    ;C1073AAK;CIUDAD AUTONOMA BUENOS AIRES;CIUDAD DE BUENOS AIRES;;30-1480;0;5692 GI/2007;11/12/2007;11/12/2010
IR COMUNICACIONES S.A.;30-59607351-0;EXPCNC 2766/2004;LIMA;575;6;    ;C1073AAK;CIUDAD AUTONOMA BUENOS AIRES;CIUDAD DE BUENOS AIRES;;30-1480;0;5692 GI/2007;11/12/2007;11/12/2010
IR COMUNICACIONES S.A.;30-59607351-0;EXPCNC 2766/2004;RODRIGUEZ DEL BUSTO;2724;          ;    ;X5009DXJ;CORDOBA;CORDOBA;(0351 )481 -3161;30-1480;0;5692 GI/2007;11/12/2007;11/12/2010
IRAOLA TECNOLOGIA SALUD S.R.L.;33-71600139-9;EX- -APN-REYS#ENACOM 10668396/2022;VIAMONTE;2146;7;    ;1056;CABA;CIUDAD DE BUENOS AIRES;(011  )4952-9800;30-2781;0;597 APN-DNAYRT#ENACOM/2022;22/02/2022;22/02/2025
IRET ELECTRONICA S.R.L.;30-64274793-9;EXPCNC E 11614/1999;4;1662;          ;    ;B1904CIL;LA PLATA;BUENOS AIRES;(0221 )482 -6962;30-1352;02-463;4884 GI/2012;14/12/2012;14/12/2015
IRET ELECTRONICA S.R.L.;30-64274793-9;EXPCNC E 11614/1999;ARAOZ ALFARO DR GREGORIO;449;4;18;C1405CIE;CIUDAD AUTONOMA BUENOS AIRES;CIUDAD DE BUENOS AIRES;;30-1352;02-463;4884 GI/2012;14/12/2012;14/12/2015
IRIDIUM ARGENTINA S.A.;30-68150446-6;EXPCNC E 12789/1998;AV. LEANDRO N. ALEM;1110;13;    ;1001;CIUDAD DE BUENOS AIRES;CIUDAD DE BUENOS AIRES;(011  )4310-2200;30-1327;0;4449 GI/1998;12/11/1998;12/11/2001
IRIDIUM ARGENTINA S.A.;30-68150446-6;EXPCNC E 12789/1998;SUIPACHA;1111;18;    ;C1008AAW;CIUDAD AUTONOMA BUENOS AIRES;CIUDAD DE BUENOS AIRES;(011  )4313-4760;30-1327;0;4449 GI/1998;12/11/1998;12/11/2001
IRION S.A.;30-69558409-8;EX- -APN-REYS#ENACOM 37489087/2020;RAMALLO;1639;          ;    ;1429;CABA;CIUDAD DE BUENOS AIRES;(011  )4703-0200;30-2625;0;2788 APN-DNAYRT#ENACOM/2020;03/07/2020;03/07/2023
IRRI-AR S.A.;30-70978189-4;EXPCNC 15523/2014;SUIPACHA;1380;7°        ;    ;C1011ACD;CABA;CIUDAD DE BUENOS AIRES;(011  )4345-0550;30-2398;0;708 APN-DNAYRT#ENACOM/2018;29/01/2018;29/01/2021
ISIADEN S.A.;30-68845494-4;EXPCNC 7537/2003;PERON EVA (EX AV. DEL TRABAJO);7455;          ;    ;C1439BTM;CIUDAD AUTONOMA BUENOS AIRES;CIUDAD DE BUENOS AIRES;(011  )4686-1071;30-1473;0;668 GI/2008;14/02/2008;14/02/2011
ISOLA, JUAN CARLOS;20-04629813-7;;RAMALLO;3075;          ;    ;C1429DVA;CIUDAD AUTONOMA BUENOS AIRES;CIUDAD DE BUENOS AIRES;(011  )4544-7721;30-1168;0;4883 CN/1992;21/12/1992;21/12/1995
ISREX S.A.;30-67778469-1;EXPCNT E 28080/1996;MITRE BARTOLOME;3949;          ;    ;C1201AAW;CIUDAD AUTONOMA BUENOS AIRES;CIUDAD DE BUENOS AIRES;(011  )4958-3730;30-1268;0;761 GI/1996;28/02/1996;28/02/1999
ISUZU VEHICULOS COMERCIALES DE ARGENTINA S.A.;30-71057436-3;EXPCNC 8746/2010;BERUTI ANTONIO LUIS;110;4;A   ;B1828HND;BANFIELD;BUENOS AIRES;(011  )4854-1189;30-1799;0;3341 GI/2010;07/10/2010;07/10/2013
ISUZU VEHICULOS COMERCIALES DE ARGENTINA S.A.;30-71057436-3;EXPCNC 8746/2010;WARNES CNEL IGNACIO;1249;          ;    ;C1414AAM;CIUDAD AUTONOMA BUENOS AIRES;CIUDAD DE BUENOS AIRES;(011  )4854-1189;30-1799;0;3341 GI/2010;07/10/2010;07/10/2013
IT LATINOAMERICA S.A.;30-70840712-3;EXPCNC 4881/2005;PARANA;123;4;105;C1017AAC;CIUDAD AUTONOMA BUENOS AIRES;CIUDAD DE BUENOS AIRES;(011  )4372-9579;30-1528;0;2837 GI/2005;18/07/2005;18/07/2008
ITALTEL ARGENTINA S.A.;30-63204322-4;EX- -APN-SDYME#ENACOM 39468839/2018;AV DEL LIBERTADOR;6550;8;    ;1428;CABA;CIUDAD DE BUENOS AIRES;(011  )4316-6800;30-2448;0;4377 APN-DNAYRT#ENACOM/2018;27/08/2018;27/08/2021
ITALTEL SIT S.P.A.;30-59496377-2;EXPCNC 491/2005;ALMAFUERTE;730;8;    ;C1437JLU;CIUDAD AUTONOMA BUENOS AIRES;CIUDAD DE BUENOS AIRES;(011  )4911-0736;30-1144;0;4697 GI/1995;27/06/1995;27/06/1998
ITAUTEC.COM SERVICOS S.A.;30-68835820-1;EXPCNC 3235/2007;YRIGOYEN PRESIDENTE HIPOLITO;1530;1;    ;C1089AAD;CIUDAD AUTONOMA BUENOS AIRES;CIUDAD DE BUENOS AIRES;(011  )5239-0060;30-1634;0;2191 GI/2007;22/05/2007;22/05/2010
ITEON TECH S.A.S.;30-71640286-6;EX- -APN-SDYME#ENACOM 21392317/2019;3 DE FEBRERO;2172;5°        ;    ;C1428AHH;CABA;CIUDAD DE BUENOS AIRES;(011  )9999-9999;30-2505;0;920 APN-DNAYRT#ENACOM/2025;22/04/2025;22/04/2028
ITEON TECH S.A.S.;30-71640286-6;EX- -APN-SDYME#ENACOM 21392317/2019;AVELLANEDA;2333;          ;    ;1852;BURZACO;BUENOS AIRES;(011  )5755-5167;30-2505;0;920 APN-DNAYRT#ENACOM/2025;22/04/2025;22/04/2028
ITM ARGENTINA S.A.;30-69684711-4;EXPCNC 5037/2010;CERRITO;484;2;A   ;C1010AAJ;CABA;CIUDAD DE BUENOS AIRES;(011  )5317-6657;30-1784;0;6633 -E-APN-ENACOM#MCO/2016;13/09/2016;13/09/2019
ITM ARGENTINA S.A.;30-69684711-4;EXPCNC 5037/2010;PARANA;774;5;A   ;1017;CABA;CIUDAD DE BUENOS AIRES;(011  )5317-6657;30-1784;0;6633 -E-APN-ENACOM#MCO/2016;13/09/2016;13/09/2019
ITRON ARGENTINA S.A.;30-70776631-6;EXPCNC 7110/2013;SUIPACHA;268;12;    ;1008;CABA;CIUDAD DE BUENOS AIRES;;30-2439;0;3724 -APN-DNAYRT#ENACOM/2018;08/08/2018;08/08/2021
ITT BORNEMANN-GOULDS PUMPS S.R.L.;30-59801999-8;EX- -APN-REYS#ENACOM 76844132/2020;DR. MARIANO MORENO;4380;          ;    ;B1605BOF;MUNRO;BUENOS AIRES;(011  )5721-2591;30-2670;0;254 APN-DNAYRT#ENACOM/2021;25/01/2021;25/01/2024
ITURAN DE ARGENTINA S.A.;30-70089662-1;EXPCNC E 5383/2001;AVDA. B. RIVADAVIA;717;3°        ;39;C1002AAF;CABA;CIUDAD DE BUENOS AIRES;(011  )4892-1400;30-2861;0;3084 APN-DNAYRT#ENACOM/2023;10/04/2023;
ITURAN DE ARGENTINA S.A.;30-70089662-1;EXPCNC E 5383/2001;SUCRE;2480;3;C   ;B1643AQS;BECCAR;BUENOS AIRES;;30-2861;0;3084 APN-DNAYRT#ENACOM/2023;10/04/2023;
ITURAN ROAD TRACK ARGENTINA S.A.;30-71503736-6;EXPAFTIC 5732/2015;ECHEVERRIA;1980;          ;    ;B1604ABV;FLORIDA OESTE;BUENOS AIRES;(011  )5280-0300;30-3054;0;4424 APN-DNLAYR#ENACOM/2025;01/12/2025;01/12/2028
ITURAN ROAD TRACK ARGENTINA S.A.;30-71503736-6;EXPAFTIC 5732/2015;RIVADAVIA;717;3;39;1002;CABA;CIUDAD DE BUENOS AIRES;(011  )4892-1400;30-3054;0;4424 APN-DNLAYR#ENACOM/2025;01/12/2025;01/12/2028
J.M.P. COMUNICACIONES S.R.L.;30-69197716-8;EXPCNC 10342/2010;CHILE;541;PB        ;    ;U9003JKF;COMODORO RIVADAVIA;CHUBUT;(0297 )448 -4614;30-2266;0;9379 -E-APN-ENACOM#MCO/2016;21/12/2016;21/12/2019
J.M.P. COMUNICACIONES S.R.L.;30-69197716-8;EXPCNC 10342/2010;PALPA;3477;PB        ;A   ;C1426DPM;CABA;CIUDAD DE BUENOS AIRES;(011  )4553-5733;30-2266;0;9379 -E-APN-ENACOM#MCO/2016;21/12/2016;21/12/2019
J.M.P. COMUNICACIONES S.R.L.;30-69197716-8;EXPCNC 10342/2010;VIRREY LORETO;3428;          ;    ;C1426DYN;CIUDAD DE BUENOS AIRES;CAPITAL FEDERAL;;30-2266;0;9379 -E-APN-ENACOM#MCO/2016;21/12/2016;21/12/2019
