empresa,telefono,es_movil,email,sitio_web,rubro,ciudad
Destacamento Punta Mogotes,+54 223 499 6500,no,,,police,Mar del Plata
Comisaría Mar del Plata 5°,+54 223 484 2578,no,,,police,Mar del Plata
Comisaría Mar del Plata 4°,+54 223 475 9357,no,,,police,Mar del Plata
Jefatura Distrital Norte Mar del Plata,+54 223 476 0051,no,,,police,Mar del Plata
Comisaría Mar del Plata 6°,+54 223 477 5044,no,,,police,Mar del Plata
Comisaría Mar del Plata 7°,+54 (223) 479-1316,no,,,police,Mar del Plata
Comisaría Mar del Plata 9°,+54 223 451 3447,no,,,police,Mar del Plata
Comisaría Mar del Plata 12°,+54 223 487 5513,no,,,police,Mar del Plata
Delegación Mar del Plata,+54 223 451 7909,no,delegmar@gmail.com,https://www.argentina.gob.ar/policia-federal-argentina,police,Mar del Plata
Parroquia Santa Rosa de Lima,,no,santarosa@iglesiamdp.org,,place_of_worship,Mar del Plata
Parroquia San Marcos,,no,sanmarcos@iglesiamdp.org,,place_of_worship,Mar del Plata
Parroquia San José,,no,comunidadreligiosa@donorionemdp.org.ar,,place_of_worship,Mar del Plata
Parroquia San Cayetano,,no,sancayetano@iglesiamdp.org,,place_of_worship,Mar del Plata
Parroquia Santa Ana,,no,santaana@iglesiamdp.org.ar,,place_of_worship,Mar del Plata
Parroquia Sagrado Corazón de Jesús,,no,sagradocorazonmdp@iglesiamdp.org.ar,,place_of_worship,Mar del Plata
Parroquia Nuestra Señora del Carmen,,no,parroquiadelcarmenmdp@yahoo.com.ar,,place_of_worship,Mar del Plata
Parroquia Nuestra Señora de Fátima,,no,nsfatima@iglesiamdp.org.ar,,place_of_worship,Mar del Plata
Parroquia Medalla Milagrosa,,no,secparroquialmedallamilagrosa@gmail.com,,place_of_worship,Mar del Plata
Parroquia Jesús Obrero,,no,jesusobrero@iglesiamdp.org,,place_of_worship,Mar del Plata
Parroquia La Asunción de la Santísima Virgen,,no,asuncion@iglesiamdp.org,,place_of_worship,Mar del Plata
Parroquia San Benedetto Mártir y Jesús Niño,,no,sanbenedetto@iglesiamdp.org.ar,http://sanbenedetto.es.tl,place_of_worship,Mar del Plata
San Martín,+543814242074,no,,,pharmacy,San Miguel de Tucuman
Comisaría 2,+54 381 424 8006,no,,,police,San Miguel de Tucuman
Las Marías,+543814249319,no,,,pharmacy,San Miguel de Tucuman
Tienda San Juan,+54 381 421 7807,no,,,clothes,San Miguel de Tucuman
Colegio del Sagrado Corazón,+543814300912,no,sagrado@colsagradocorazon.edu.ar,https://colsagradocorazon.edu.ar/,kindergarten,San Miguel de Tucuman
Mi Nueva Estancia,+543814307049,no,,https://minuevaestancia.com/,restaurant,San Miguel de Tucuman
Café Martínez,+54 381 400-1025,no,tucuman@cafemartinez.com.ar,https://www.cafemartinez.com/,cafe,San Miguel de Tucuman
Vea,+543814201235,no,,https://supermercadosvea.com.ar/,supermarket,San Miguel de Tucuman
Hidalgo,+543814244022,no,,,pharmacy,San Miguel de Tucuman
Santa Fé,+543814303017,no,,,pharmacy,San Miguel de Tucuman
Galicia Más,+543814508000,no,,https://www.galiciamas.com.ar/,bank,San Miguel de Tucuman
Las Palmas,+54 381 430 7648,no,,,cafe,San Miguel de Tucuman
FarMar Catedral III,+543814219754,no,,,pharmacy,San Miguel de Tucuman
FarMar Catedral II,+543814212944,no,,,pharmacy,San Miguel de Tucuman
Libertad,+543814225059,no,,,pharmacy,San Miguel de Tucuman
Instituto Superior de Música - UNT,54 0381 4220767,no,,,school,San Miguel de Tucuman
ServiTuc – Instalación de aires acondicionados,+5493815039235,si,,,hvac,San Miguel de Tucuman
Escuela de Bellas Artes - UNT,+54 381 430 2967,no,,,school,San Miguel de Tucuman
Escuela y Liceo Vocacional Sarmiento - UNT,54 0381 4222410,no,,,school,San Miguel de Tucuman
Comisaría 1,+543814310480,no,,http://www.policiadetucuman.gov.ar/,police,San Miguel de Tucuman
Del Pueblo Plaza,+543814227513,no,,https://www.farmaciasdelpueblo.com.ar/,pharmacy,San Miguel de Tucuman
San Carlos,+543814300902,no,,,pharmacy,San Miguel de Tucuman
San Cristobal,+543814225783,no,farmaciasancristobal15@gmail.com,https://www.farmaciasancristobal.com/,pharmacy,San Miguel de Tucuman
Faith,+543814210869,no,,,pharmacy,San Miguel de Tucuman
Cruz Verde,+543814300991,no,,,pharmacy,San Miguel de Tucuman
FarMar Catedral IV,+543814526150,no,,,pharmacy,San Miguel de Tucuman
Del Pueblo 9 de Julio,+543814524604,no,,https://www.farmaciasdelpueblo.com.ar/,pharmacy,San Miguel de Tucuman
Frávega,+543814221393,no,,,electronics,San Miguel de Tucuman
La Unión,+543814219295,no,clientes.farmacialaunion@gmail.com,https://farmaciaslaunion.com.ar/,pharmacy,San Miguel de Tucuman
Central,+543814225354,no,,,pharmacy,San Miguel de Tucuman
América IV,+543814222141,no,,,pharmacy,San Miguel de Tucuman
Escuela 49 Juan Bautista Alberdi,+543814286136,no,,,school,San Miguel de Tucuman
Refinor,+543814211021,no,rrhh@complejodelparque.com.ar,https://complejodelparque.com.ar/,yes,San Miguel de Tucuman
Nanitos - Peluquería y Boutique,+54 381 423-4201,no,,,hairdresser,San Miguel de Tucuman
El Bajeño,+543814228560,no,bajomusica@hotmail.com,http://www.facebook.com/elbajeno,gift,San Miguel de Tucuman
Escuela Doctor Agustín Justo de la Vega,+543814204174,no,,,school,San Miguel de Tucuman
Florida,+543814204557,no,,,pharmacy,San Miguel de Tucuman
Castillo,,no,info@castillo.com.ar,https://www.castillo.com.ar/,appliance,San Miguel de Tucuman
Escuela José Mármol,+543814312655,no,,,school,San Miguel de Tucuman
Escuela Doctor Marcos Paz,+54 381 4333463,no,,,school,San Miguel de Tucuman
Liceo Militar General Gregorio Aráoz de Lamadrid,+54 381 433 0755,no,,http://liceomilitarlamadrid.com/,school,San Miguel de Tucuman
Mayorista Gomez Pardo hnos,+54 381 452 6210,no,,,supermarket,San Miguel de Tucuman
Instituto 9 de Julio,+54 381 421-8770,no,,http://9dejulio.tuc.infd.edu.ar/sitio/,school,San Miguel de Tucuman
Colegio Salesiano General Belgrano,4214583,no,,,school,San Miguel de Tucuman
Instituto San Cayetano,+543814245458,no,icsancayetano@gmail.com,,school,San Miguel de Tucuman
Bicicleteria Casanova,+54 381 424-4794,no,,,bicycle,San Miguel de Tucuman
Del Norte,+543814224841,no,,,pharmacy,San Miguel de Tucuman
América,+543814211877,no,,,pharmacy,San Miguel de Tucuman
Sanatorio del Norte,+54 381 5654571,no,contacto@traumatologiadelnorte.com,https://traumatologiadelnorte.com/pr/;https://linktr.ee/sanatoriodelnorte,hospital,San Miguel de Tucuman
Escuela de Nivel Inicial Delfin Jijena,+543814526315,no,nidelfinjijena2015@gmail.com,,kindergarten,San Miguel de Tucuman
Instituto San Miguel,+543814222129,no,,https://www.institutosanmiguel.net/,school,San Miguel de Tucuman
El Alto de la Lechuza,+543814218940,no,,,restaurant,San Miguel de Tucuman
Comisaría 10,+543814282887,no,,http://www.policiadetucuman.gov.ar/,police,San Miguel de Tucuman
Escuela Secundaria Marina Alfaro,+543814525088,no,esc.sec.malfaro@hotmail.com,,school,San Miguel de Tucuman
Rectorado Universidad Nacional de Tucumán,4247752,no,,https://www.unt.edu.ar/,school,San Miguel de Tucuman
Del Jardín,+543814221459,no,farmaciadeljardin@argentina.com,,pharmacy,San Miguel de Tucuman
Boho Bar,4554584,no,,,bar,San Miguel de Tucuman
911,(911) (911),no,,,police,San Miguel de Tucuman
UTP,+543814323176,no,,,police,San Miguel de Tucuman
Zole Suarez,+54 381 422 3748,no,,https://www.facebook.com/zolesuarez/,beauty,San Miguel de Tucuman
Spintec,+54 381 420 2858,no,info@spintec.com.ar,https://spintec.com.ar/,mobile_phone,San Miguel de Tucuman
InterSalud Medicina Privada,4219911,no,,,doctors,San Miguel de Tucuman
Casino Parque,4553800,no,,,casino,San Miguel de Tucuman
Prensa Obra Social,+543814220766,no,,https://www.prensaobrasocial.com/,clinic,San Miguel de Tucuman
Centro Radiológico Mendez Collado,+543814217000,no,,https://www.mendezcollado.com/,clinic,San Miguel de Tucuman
Prensa Centro Médico,+543814310941,no,info@prensaobrasocial.com,https://www.prensaobrasocial.com/,clinic,San Miguel de Tucuman
Armonia,+543814214161,no,,,pharmacy,San Miguel de Tucuman
Plazoleta Parque,+543814224442:+543814229282,no,info@farmaciasplazoleta.com,https://www.farmaciasplazoleta.com/,pharmacy,San Miguel de Tucuman
Banco Nación,+54 381 421 1717,no,,http://www.bna.com.ar/,bank,San Miguel de Tucuman
Leguina Informática,+54 381 630 3193,no,leguinainformatica@gmail.com,https://m.facebook.com/informaticaleguina,computer,San Miguel de Tucuman
Farmacia Alamino,+543814305165,no,,,pharmacy,San Miguel de Tucuman
Ekilibrio,+54 381 417 0196,no,,,doctors,San Miguel de Tucuman
Banco Nación,+54 381 424 4041,no,,http://www.bna.com.ar/,bank,San Miguel de Tucuman
tarantino,+54 381 454 2499,no,,,fast_food,San Miguel de Tucuman
Las Bases,+543814271516,no,tucsal@hotmail.com,,pharmacy,San Miguel de Tucuman
"Lic. Diego Rodríguez, psicoanalista",+54 381 549 3554,no,psicdiegorod@gmail.com,,clinic,San Miguel de Tucuman
Propanorte S.A.,+54 381 4292929,no,administración@propanorte.com.ar,,company,San Miguel de Tucuman
Del Pueblo,+543814244540,no,,https://www.farmaciasdelpueblo.com.ar/,pharmacy,San Miguel de Tucuman
Ciot,4311191,no,,,doctors,San Miguel de Tucuman
TodoBulon,+543814310698,no,todobulon@hotmail.com,,hardware,San Miguel de Tucuman
Sanatorio Regional,+54 381 4218181,no,info@sanatorio-regional.com.ar,http://sanatorio-regional.com.ar/,clinic,San Miguel de Tucuman
Teymi,+54 381 451 0418,no,teymi_ge@yahoo.com.ar,,car_repair,San Miguel de Tucuman
Café Martínez,+54 381 422-9651,no,tucumanbarrionorte@cafemartinez.com.ar,https://www.cafemartinez.com/,cafe,San Miguel de Tucuman
Centro de Visas,+543814559460,no,info@centrodevisas.com,https://centrodevisas.com/,travel_agency,San Miguel de Tucuman
Malaga,+543814211863,no,,,pharmacy,San Miguel de Tucuman
Sur,+543814240304,no,,,pharmacy,San Miguel de Tucuman
Juvenil Instituto Moderno,+543814211615,no,institutojimsecundario@gmail.com,https://www.jimtucuman.edu.ar/,school,San Miguel de Tucuman
Colegio San Carlos Borromeo,+543814213536,no,claraliliajimenez@hotmail.com,,school,San Miguel de Tucuman
Colegio Nuestra Señora del Huerto,+543814225200,no,,,school,San Miguel de Tucuman
Poder Judicial de Tucumán - Fuero Penal,+543814979135,no,,http://justucuman.gov.ar/,courthouse,San Miguel de Tucuman
Escuela de Comercio 1 General Manuel Belgrano,+543814310088,no,,,school,San Miguel de Tucuman
Guerra Motors,+54 381 467 1102,no,,,car_parts,San Miguel de Tucuman
San Lorenzo,+543814235052,no,,,pharmacy,San Miguel de Tucuman
OCA,+543816718030,no,,http://www.oca.com.ar/,post_office,San Miguel de Tucuman
El Rayo Bus SRL,+543814274905,no,,http://rayobus.com.ar/,bus_station,San Miguel de Tucuman
Jaco,4310768,no,jaco@jacovideo.com.ar,http://Facebook.com/jacotucuman,electronics,San Miguel de Tucuman
Juvia Grupo Médico,+54 381 430 6955,no,,https://www.juviagrupomedico.com,clinic,San Miguel de Tucuman
Almacén San José,+54 385 516 5191,no,,https://almacensanjose.com.ar/,supermarket,San Miguel de Tucuman
Almacén San José,+54 385 586 7288,no,,https://almacensanjose.com.ar/,supermarket,San Miguel de Tucuman
Centro de Educación Básica Alternativa 1-22 (CEBA),+5493815530360,si,sandraeesosa@hotmail.com,,school,San Miguel de Tucuman
Centro de Educación Básica Alternativa 1-118 (CEBA),+543815862279,no,mirtaisaleon@gmail.com,,school,San Miguel de Tucuman
Centro de Formación Profecional 2-41 (Ce.F.P.),+5493815549678,si,adrivalle.love@gmail.com,,college,San Miguel de Tucuman
Centro de Educación Básica Alternativa 1-94 (CEBA),+5493816817919,si,marialuisa_26_@hotmail.com,,school,San Miguel de Tucuman
Escuela Delfin Jijena,+543814204249,no,delfinjijena@hotmail.com,,school,San Miguel de Tucuman
Escuela Especial Luis Braile,+543814525074,no,luisbrailleescuela@yahoo.com,,school,San Miguel de Tucuman
Jardín de Infantes Moderno,+543814216981,no,inicial@jimtucuman.edu.ar,,kindergarten,San Miguel de Tucuman
Colegio San Cayetano,+543814245458,no,colsancayetano.primaria@colegiosancayetanotuc.com,https://www.colegiosancayetanotuc.com/,school,San Miguel de Tucuman
Colegio San Carlos,+543814213536,no,secretaria.primaria.sancarlos@gmail.com,,school,San Miguel de Tucuman
Prensa Obra Social,+543814310941,no,info@prensaobrasocial.com,https://www.prensaobrasocial.com/,clinic,San Miguel de Tucuman
Prensa Farmacia,+543814975455,no,,,pharmacy,San Miguel de Tucuman
CEMIBERICA - Asesores de Seguros,+54 381 357 9541,no,,https://www.facebook.com/cemiberica,insurance,San Miguel de Tucuman
Escuela de formacion profesional de la escuela de artes y oficios Obispo Colombres,+543814360486,no,formacionprofesionaloc@gmail.com,,school,San Miguel de Tucuman
Benjamín Araoz,+543814229888,no,,,pharmacy,San Miguel de Tucuman
Escuela secundaria Barrio Suitiaga,+543814368603,no,esc.b.sutiaga@hotmail.com,,school,San Miguel de Tucuman
Daruich,+543814330791,no,,,pharmacy,San Miguel de Tucuman
Del Pueblo,+543814527784,no,,https://www.farmaciasdelpueblo.com.ar/,pharmacy,San Miguel de Tucuman
CAC N5 San Ramón,"+543814278501,3011",no,,,clinic,San Miguel de Tucuman
Escuela Secundaria Emilio Castelar,+543814279867,no,escuelaemiliocastelar@hotmail.com,,school,San Miguel de Tucuman
Supermercados Comodin,+543814206212,no,,http://supermercadoscomodin.com/nuestras-sucursales/sucursal-c25/,supermarket,San Miguel de Tucuman
Supermercados Comodin,+543814556024,no,,https://supermercadoscomodin.com/nuestras-sucursales/sucursal-c23/,supermarket,San Miguel de Tucuman
Escuela San Martín,+543814272680,no,escsanmartin339@hotmail.com,,school,San Miguel de Tucuman
Escuela Técnica 2 Obispo Colombres,+543814204157,no,tecnica2obispocolombres@gmail.com,,school,San Miguel de Tucuman
Instituto John Kennedy,+543813183516,no,info@institutokennedy.com.ar,http://www.institutokennedy.com.ar/,school,San Miguel de Tucuman
Plasticaucho,,no,comercial@plasticaucho.com.ar,,wholesale,San Miguel de Tucuman
Luz,+543814553016,no,,,pharmacy,San Miguel de Tucuman
Maipú,+543814219222,no,,,pharmacy,San Miguel de Tucuman
Del Pueblo,+543814979181,no,,https://www.farmaciasdelpueblo.com.ar/,pharmacy,San Miguel de Tucuman
Namuncurá,+543814310181,no,,,pharmacy,San Miguel de Tucuman
Plazoleta Centro Santiago,+543814222897,no,,https://www.farmaciasplazoleta.com/,pharmacy,San Miguel de Tucuman
San Agustín,+543814212357,no,,,pharmacy,San Miguel de Tucuman
Victoria,+543814215908,no,,,pharmacy,San Miguel de Tucuman
Del Huerto,+543814221618,no,,,pharmacy,San Miguel de Tucuman
Orion,+543814227853,no,,,pharmacy,San Miguel de Tucuman
San Alberto Margno,+543814312401,no,,,pharmacy,San Miguel de Tucuman
San Felipe,+543812316723,no,,,pharmacy,San Miguel de Tucuman
BonFarma,+543814216664,no,,,pharmacy,San Miguel de Tucuman
La Merced,+543814217654,no,,,pharmacy,San Miguel de Tucuman
Paris,+543814216306,no,,,pharmacy,San Miguel de Tucuman
Parque,+543814301999,no,,,pharmacy,San Miguel de Tucuman
Monteagudo,+543814307892,no,,,pharmacy,San Miguel de Tucuman
Primavera Norte,+543814216540,no,,,pharmacy,San Miguel de Tucuman
Del Pueblo Barrio Norte,+543814524603,no,,https://www.farmaciasdelpueblo.com.ar/,pharmacy,San Miguel de Tucuman
Del Pueblo Urquiza,+543814226346,no,,,pharmacy,San Miguel de Tucuman
Salta,+543814228829,no,,,pharmacy,San Miguel de Tucuman
Nieves,+543814310581,no,,,pharmacy,San Miguel de Tucuman
Andalucia,+543814229177,no,,,pharmacy,San Miguel de Tucuman
Avellaneda Norte,+543814219399,no,,,pharmacy,San Miguel de Tucuman
Bristol,+543814211224,no,,,pharmacy,San Miguel de Tucuman
Plazoleta San Martín,+543814345838,no,,,pharmacy,San Miguel de Tucuman
San Pablo,+543814212393,no,,,pharmacy,San Miguel de Tucuman
Crisostomo,+543814305937,no,,,pharmacy,San Miguel de Tucuman
Regina,+543814303210,no,,,pharmacy,San Miguel de Tucuman
Siloé,+543814228926,no,,,pharmacy,San Miguel de Tucuman
Del Pueblo Jujuy,+543814524600,no,,https://www.farmaciasdelpueblo.com.ar/,pharmacy,San Miguel de Tucuman
Ayacucho,+543814307566,no,,,pharmacy,San Miguel de Tucuman
Plazoleta San Lorenzo,+543814333020,no,,https://www.farmaciasplazoleta.com/,pharmacy,San Miguel de Tucuman
Samuel Hahnemann,+543814225038,no,,,pharmacy,San Miguel de Tucuman
13 de Febrero,+543814312532,no,,,pharmacy,San Miguel de Tucuman
Iranzo,+543814978226,no,,,pharmacy,San Miguel de Tucuman
Elina,+543814244934,no,,,pharmacy,San Miguel de Tucuman
Nuevo,+543814245654,no,,,pharmacy,San Miguel de Tucuman
Panacea,+543814203314,no,,,pharmacy,San Miguel de Tucuman
Plazoleta Las Heras,+543815075820,no,,https://www.farmaciasplazoleta.com/,pharmacy,San Miguel de Tucuman
Del Pueblo Roca,+543814200472,no,,https://www.farmaciasdelpueblo.com.ar/,pharmacy,San Miguel de Tucuman
Plazoleta Argentina,+543813020323,no,,https://www.farmaciasplazoleta.com/,pharmacy,San Miguel de Tucuman
Nuevo Milenio,+543814247537,no,,,pharmacy,San Miguel de Tucuman
Paulino,+543814243926,no,,,pharmacy,San Miguel de Tucuman
Andrea,+543814240470,no,,,pharmacy,San Miguel de Tucuman
Alba,+543814223073,no,,,pharmacy,San Miguel de Tucuman
San Judas Tadeo,+543814309284,no,,,pharmacy,San Miguel de Tucuman
Camila,+543814303072,no,,,pharmacy,San Miguel de Tucuman
María,+543814212170,no,,,pharmacy,San Miguel de Tucuman
El Cóndor,+543814248573,no,,,pharmacy,San Miguel de Tucuman
Orihuel,+543814238097,no,,,pharmacy,San Miguel de Tucuman
Nuestra señora de la consolación,+543814303872,no,,,pharmacy,San Miguel de Tucuman
Lujan,+543814237024,no,farmacialujan@tucbbs.com.ar,,pharmacy,San Miguel de Tucuman
Zilman,+543814331431,no,,,pharmacy,San Miguel de Tucuman
Rojas,+543814237027,no,,,pharmacy,San Miguel de Tucuman
El Nogal,+543814398752,no,,,pharmacy,San Miguel de Tucuman
Mate de Luna,+543814302959,no,,,pharmacy,San Miguel de Tucuman
Todofarma,+543812322273,no,,,pharmacy,San Miguel de Tucuman
Lamadrid,+543814202098,no,,,pharmacy,San Miguel de Tucuman
Juan XXIII,+543814369561,no,litoia2012@yahoo.com.ar,,pharmacy,San Miguel de Tucuman
Siglo XXI,+543814201044,no,,,pharmacy,San Miguel de Tucuman
Alem SCS,+543814362471,no,,,pharmacy,San Miguel de Tucuman
Muñecas SCS,+543814246795,no,roofajardo@hotmail.com,,pharmacy,San Miguel de Tucuman
Matheu,+543814298537,no,farmamatheu@yahoo.com.ar,,pharmacy,San Miguel de Tucuman
Mabel,+543814292574,no,,,pharmacy,San Miguel de Tucuman
Saenz Peña,+543814248109,no,,,pharmacy,San Miguel de Tucuman
Bermudez,+543814245440,no,farmacia1bermudez@hotmail.com,,pharmacy,San Miguel de Tucuman
Juramento,+543814282021,no,,,pharmacy,San Miguel de Tucuman
Atlas,+543814313687,no,,,pharmacy,San Miguel de Tucuman
FarMar Catedral I,+543814221842,no,,,pharmacy,San Miguel de Tucuman
Alejandro Fleming,+543814361553,no,,,pharmacy,San Miguel de Tucuman
Del Pueblo,+543814216600,no,,https://www.farmaciasdelpueblo.com.ar/,pharmacy,San Miguel de Tucuman
España,+543814290327,no,,,pharmacy,San Miguel de Tucuman
Rafael,+543814321359,no,,,pharmacy,San Miguel de Tucuman
Asunción,+543814232976,no,farmaciaasuncion@hotmail.com,,pharmacy,San Miguel de Tucuman
San Joaquin,+543814330394,no,,,pharmacy,San Miguel de Tucuman
Río Salí,+543814223392,no,fciariosali@hotmail.com,,pharmacy,San Miguel de Tucuman
Ely,+543814324420,no,,,pharmacy,San Miguel de Tucuman
Del Pueblo,+543814212149,no,,https://www.farmaciasdelpueblo.com.ar/,pharmacy,San Miguel de Tucuman
San Vicente,+543814850235,no,,,pharmacy,San Miguel de Tucuman
Americana,+543814850298,no,,,pharmacy,San Miguel de Tucuman
Del Piamonte,+543814322738,no,la_farpiamonte@yahoo.com.ar,,pharmacy,San Miguel de Tucuman
Primavera,+543814306250,no,farprimavera@arnetbiz.com.ar,,pharmacy,San Miguel de Tucuman
Belén,+543814274540,no,belenfarmacia@hotmail.com,,pharmacy,San Miguel de Tucuman
Plazoleta Esquina Norte,+543812623962,no,,https://www.farmaciasplazoleta.com/,pharmacy,San Miguel de Tucuman
Ancla,+543814210856,no,farmaciaancla@hotmail.com.ar,,pharmacy,San Miguel de Tucuman
Avenida,+543814504770,no,farmaciaavenidatucuman@yahoo.com.ar,,pharmacy,San Miguel de Tucuman
Plazoleta Belgrano,+543814238659,no,farmaciaplazoleta@hotmail.com.ar,https://www.farmaciasplazoleta.com/,pharmacy,San Miguel de Tucuman
Plazoleta El Bosque,+543812066204,no,,,pharmacy,San Miguel de Tucuman
Del Valle,+543814237102,no,,,pharmacy,San Miguel de Tucuman
Magalí,+543814321024,no,,,pharmacy,San Miguel de Tucuman
América II,+543814239000,no,,,pharmacy,San Miguel de Tucuman
Farmacity,+54 381 497 9160,no,,https://www.farmaciasdelpueblo.com.ar/,pharmacy,San Miguel de Tucuman
Chango Más,+543814853408,no,,,pharmacy,San Miguel de Tucuman
Miluno,+543815491016,no,,,pharmacy,San Miguel de Tucuman
Del Ahorro,+543814340245,no,,,pharmacy,San Miguel de Tucuman
Vital,+543812311954,no,,,pharmacy,San Miguel de Tucuman
Santa Victoria,+543814320387,no,,,pharmacy,San Miguel de Tucuman
Farmacenter,+543814233115,no,farmfarmacenter@yahoo.com,,pharmacy,San Miguel de Tucuman
Santa Cruz,+54 11 5195-1180,no,,,pharmacy,San Miguel de Tucuman
Calcagno,+543814276681,no,info@farmaciacalcagno.com.ar,https://www.farmaciacalcagno.com.ar/,pharmacy,San Miguel de Tucuman
Nino,+543814277204,no,,,pharmacy,San Miguel de Tucuman
Chango Más,+543814510261,no,,,pharmacy,San Miguel de Tucuman
Martín,+543814286128,no,,,pharmacy,San Miguel de Tucuman
Los Lirios,+543814362284,no,nlg75@hotmail.com,https://farmacia-los-lirios.negocio.site/,pharmacy,San Miguel de Tucuman
Anna,+543814853868,no,,,pharmacy,San Miguel de Tucuman
De la Rosa,+543814263049,no,omarlec@arnetbiz.com.ar,,pharmacy,San Miguel de Tucuman
De La Rosa,+543814267268,no,,,pharmacy,San Miguel de Tucuman
Moderna,+543814261637,no,farmaciamoderna@hotmail.com,,pharmacy,San Miguel de Tucuman
De La Rosa,+543814260497,no,,,pharmacy,San Miguel de Tucuman
Imperial,+543814519277,no,,,pharmacy,San Miguel de Tucuman
Martiniano,+543814260918,no,martinianofarma@hotmail.com,,pharmacy,San Miguel de Tucuman
Farmaservis,+543814261566,no,,,pharmacy,San Miguel de Tucuman
Cruz Alta,+543814261438,no,fabianmarchesi@hotmail.com,,pharmacy,San Miguel de Tucuman
Concepción,+543814260808,no,farmconcepcion@arnet.com.ar,,pharmacy,San Miguel de Tucuman
Del Pueblo Express,+543814319882,no,,https://www.farmaciasdelpueblo.com.ar/,pharmacy,San Miguel de Tucuman
Marcantonio Deportes,+54 381 6070555,no,,https://marcantoniodeportes.com.ar/,sports,San Miguel de Tucuman
Cardiología Intervencionista Modelo - CIM,+543814229883,no,cim.modelo@gmail.com,,doctors,San Miguel de Tucuman
Centro Modelo de Cardiología,+543812560074,no,,,doctors,San Miguel de Tucuman
OdontoTucuman,+5493813407776,si,,,dentist,San Miguel de Tucuman
Las Marías,+54 381 454 8681,no,,,hardware,San Miguel de Tucuman
Dermatología y Estética Bollea Garlatti,+54 381 431-0602,no,,,doctors,San Miguel de Tucuman
Comisaría 11,+543814310337,no,,http://www.policiadetucuman.gov.ar/,police,San Miguel de Tucuman
Vea,+54 381 421 3021,no,,http://www.supermercadosvea.com.ar/,supermarket,San Miguel de Tucuman
Lecfer EVT SA,+54 9 3813 60 1481,si,,,travel_agency,San Miguel de Tucuman
MYTO - Masajes y Terapias Orientales (SMT),+54 381 513 0161,no,terapias.myto@gmail.com,https://www.instagram.com/masajes_orientales/,alternative,San Miguel de Tucuman
Fotografía y Video / Producción y edición by Fer,+5493816242212,si,,https://www.instagram.com/ferbustamantee/,photographer,San Miguel de Tucuman
Municipalidad de Banda del Río Salí,+54 381 4268175,no,info@bandadelriosali.gob.ar,https://www.bandadelriosali.gob.ar/,townhall,San Miguel de Tucuman
Centro De Día El Sembrador,+54 381 4265572,no,,,social_facility,San Miguel de Tucuman
IMPREPAPEL (Impresiones),+54 9 381 468 4537,si,pao20lugon3s@gmail.com,https://www.instagram.com/lugones1781/,copyshop,San Miguel de Tucuman
Polituc,+54 381 4272845,no,,,company,San Miguel de Tucuman
BTC to ARS/USD by Club Satoshi,,no,clubsatoshiok@gmail.com,https://forms.gle/3YTn6Pf2KrhQo8w9A,bureau_de_change,San Miguel de Tucuman
Grafica Molina & Kreibohm,+5493812133179,si,,,copyshop,San Miguel de Tucuman
Todo Congelado,+5493865610605,si,,,health_food,San Miguel de Tucuman
Escuela De La Patria Doctor Manuel Belgrano,+54 381 424 7555,no,,,school,San Miguel de Tucuman
Escuela De La Patria Comercio 3,+54 381 424 7555,no,,,school,San Miguel de Tucuman
Luve Tech - Reparación de Celulares,+5493813605587,si,luvetechnologies@gmail.com,,repair,San Miguel de Tucuman
PAKUA - Espacio Interdisciplinario de Artes y Terapias Orientales,+5493815130161,si,recintodepakua@gmail.com,,alternative,San Miguel de Tucuman
Sir Volka - Asesoría Literaria,+54 381 246 1186,no,sirvolkaoficial@gmail.com,,consulting,San Miguel de Tucuman
Escuela Patricias Argentinas,+54 381 4527712,no,,,school,San Miguel de Tucuman
Escuela de Nivel Inicial 49 Juan Bautista Alberdi,+543814286136,no,,,kindergarten,San Miguel de Tucuman
We Love Muchachas,+5493814800200,si,,,clothes,San Miguel de Tucuman
Escuela de Nivel Inciail Patricias Argentinas,+54 381 4527712,no,,,kindergarten,San Miguel de Tucuman
Plazoleta Roca,+543814036293,no,,https://farmaciasplazoleta.com/,pharmacy,San Miguel de Tucuman
Instituto De Gastroenterología,+54 381 4212613,no,,,hospital,San Miguel de Tucuman
La Anónima,+543814504000,no,,https://www.laanonima.com.ar/,supermarket,San Miguel de Tucuman
Sagitario II,+543814274335,no,,,pharmacy,San Miguel de Tucuman
Plazoleta Sur,+543812576909,no,,https://www.farmaciasplazoleta.com/,pharmacy,San Miguel de Tucuman
Plazoleta El León,+543812066823,no,,https://www.farmaciasplazoleta.com/,pharmacy,San Miguel de Tucuman
Plazoleta Mendoza,+543814526030,no,,https://www.farmaciasplazoleta.com/,pharmacy,San Miguel de Tucuman
Plazoleta Lomas de Tafí,+543814345838,no,,https://www.farmaciasplazoleta.com/,pharmacy,San Miguel de Tucuman
Plazoleta Central,+543812300944,no,,https://farmaciasplazoleta.com/,pharmacy,San Miguel de Tucuman
Af Alliance Française Tucumán,03814219651,no,info@aftuc.com.ar,,language_school,San Miguel de Tucuman
Escuela Maternal y Jardín de Infantes Semillita,+54 381 4135307,no,,,kindergarten,San Miguel de Tucuman
Casino de Tucumán,+54 381 431 1118,no,,https://www.casinodetucuman.com/,casino,San Miguel de Tucuman
Hospital del Niño Jesús,+54 381 420 5341,no,,,hospital,San Miguel de Tucuman
