empresa,cuit,telefono,localidad,provincia,tel_util
DROPGIFT S.R.L.,30-71234156-0,(011  )4771-7239,CABA,CIUDAD DE BUENOS AIRES,si
DRTK S.A.,30-71344900-4,(011  )6158-0531,CABA,CIUDAD DE BUENOS AIRES,si
DU PONT ARGENTINA S.R.L.,30-50112696-5,(011  )4021-4711,CABA,CIUDAD DE BUENOS AIRES,si
DX CONTROL S.A.,30-69474853-4,(011  )4647-2100,CIUDADELA,BUENOS AIRES,si
DYNA GROUP S.A.,30-70304875-3,(011  )4546-3141,CIUDAD AUTONOMA BUENOS AIRES,CIUDAD DE BUENOS AIRES,si
DYNACORP S.A.,30-60515986-5,(011  )4951-6915,CIUDAD DE BUENOS AIRES,CAPITAL FEDERAL,si
DYNAMIC SYSTEMS COMMUNICATION S.A.,30-61341289-8,,CIUDAD AUTONOMA BUENOS AIRES,CIUDAD DE BUENOS AIRES,no
E-BERIKA NETWORKS S.R.L.,30-71105445-2,(011  )5883-6771,SAN ISIDRO,BUENOS AIRES,si
E-PAGOS S.A.,30-71508429-1,(011  )3991-1320,CABA,CIUDAD DE BUENOS AIRES,si
EASTEL S.A.I.C.,30-58989104-6,,CIUDAD AUTONOMA BUENOS AIRES,CIUDAD DE BUENOS AIRES,no
EBOX S.A.,30-71474920-6,(011  )4941-3422,CABA,CIUDAD DE BUENOS AIRES,si
ECADAT S.A.,30-57430429-2,,CABA,CIUDAD DE BUENOS AIRES,no
ECHEA S.A.,33-54130506-3,,CIUDAD DE BUENOS AIRES,CAPITAL FEDERAL,no
ECODATOS S.A.,30-70837420-9,(011  )5235-6633,CIUDAD AUTONOMA BUENOS AIRES,CIUDAD DE BUENOS AIRES,si
EDGE TECHNOLOGY S.R.L.,30-70815501-9,(011  )5032-3343,CIUDAD AUTONOMA BUENOS AIRES,CIUDAD DE BUENOS AIRES,si
EDIFICADORA DEO S.A.,30-59250579-3,,CIUDAD DE BUENOS AIRES,CAPITAL FEDERAL,no
EDINEC S.R.L.,30-61045143-4,(0351 )426 -5492,CORDOBA,CORDOBA,si
EDITORIAL PERFIL S.A.,30-56095690-4,(011  )7091-4950,CABA,CIUDAD DE BUENOS AIRES,si
EDUARDO UDENIO Y COMPAÑIA S.A.C.I.F.I.,30-52014280-7,(011  )4811-1864,CABA,CIUDAD DE BUENOS AIRES,si
EDUC.AR SOCIEDAD DEL ESTADO,30-70721953-6,(011  )5129-6500,CIUDAD AUTONOMA BUENOS AIRES,CIUDAD DE BUENOS AIRES,si
EF DIGITAL GROUP S.A.,30-71177348-3,(011  )4311-9311,CABA,CIUDAD DE BUENOS AIRES,si
EKON EMPRESA DE COMUNICACIONES SOCIEDAD DE RESPONSABILIDAD LIMITADA,30-56963694-5,,CABA,CIUDAD DE BUENOS AIRES,no
EL ALMACENERO S.R.L.,30-60398125-8,,CIUDAD DE BUENOS AIRES,CAPITAL FEDERAL,no
ELCOMEL S.R.L.,30-68554323-7,(011  )4572-0311,CABA,CIUDAD DE BUENOS AIRES,si
ELECTRICIDAD INDUSTRIAL S.R.L.,30-62143990-8,(011  )4812-7526,CABA,CIUDAD DE BUENOS AIRES,si
ELECTRO COMUNICACION S.R.L.,30-65349333-5,(0351 )423 -9637,CORDOBA,CORDOBA,si
ELECTRO WORLD GROUP ARGENTINA S.A.,33-71468855-9,(0800 )444 -0214,CABA,BUENOS AIRES,si
ELECTROCOMPONENTES S.A.,30-58260502-1,(011  )4375-3366,CABA,CIUDAD DE BUENOS AIRES,si
ELECTROFUEGUINA S.A.,30-61284315-1,(011  )4959-6691,RIO GRANDE,"TIERRA DEL FUEGO, ANTARTIDA E ISLAS DEL ATLANTICO SUR",si
ELECTROGLOBAL S.A.S.,30-71877536-8,(011  )3026-7730,CABA,CIUDAD DE BUENOS AIRES,si
ELECTRONA S.A.,30-61079971-6,(011  )4302-8978,CIUDAD DE BUENOS AIRES,CAPITAL FEDERAL,si
ELECTRONIC SYSTEM S.A.,30-64358677-7,,CABA,CIUDAD DE BUENOS AIRES,no
ELECTRONICA ELEMON SOCIEDAD ANONIMA,30-55993223-6,(011  )4553-5555,CABA,CIUDAD DE BUENOS AIRES,si
ELECTRONICA MEGATONE S.A.,30-54365973-4,,CIUDAD AUTONOMA BUENOS AIRES,CIUDAD DE BUENOS AIRES,no
ELECTRONICA ORVA S.A.,30-61474714-1,(011  )4651-4010,RAMOS MEJIA,BUENOS AIRES,si
ELECTRONICA PLUS ULTRA S.R.L.,30-59817745-3,,CIUDAD DE BUENOS AIRES,CAPITAL FEDERAL,no
ELECTRONICA SUDAMERICANA S.R.L.,30-58481600-3,(011  )4249-7117,CIUDAD AUTONOMA BUENOS AIRES,CIUDAD DE BUENOS AIRES,si
ELEFE.COM S.R.L.,30-70958045-7,,CABA,CIUDAD DE BUENOS AIRES,no
ELEVAR S.R.L.,30-64208408-5,(011  )2475-1878,CABA,CIUDAD DE BUENOS AIRES,si
ELIGREY CORPORATION S.A.,30-70822475-4,(011  )4812-4840,CIUDAD DE BUENOS AIRES,CAPITAL FEDERAL,si
ELIPGO S.A.,30-71108571-4,,CABA,CIUDAD DE BUENOS AIRES,no
ELSTER MEDIDORES S.A.,30-52033593-1,,VALENTIN ALSINA,BUENOS AIRES,no
ELVIO C. CAVALLO S.R.L.,30-61558742-3,(0347 )47  -1260,LAS PAREJAS,SANTA FE,si
EMERSON ARGENTINA S.A.,30-69224496-2,(011  )4837-7002,CABA,CIUDAD DE BUENOS AIRES,si
EMPLA-TEL S.R.L.,30-61807349-8,(0221 )564 -5205,LA PLATA,BUENOS AIRES,si
EMPRESA ATLANTICA DE TECNOLOGIA S.A.,30-63830905-6,(011  )4311-9510,CIUDAD AUTONOMA BUENOS AIRES,CIUDAD DE BUENOS AIRES,si
EMPRESA ELECTRONICA PUNTANA S.A.,30-61097557-3,,SAN LUIS,SAN LUIS,no
EMTE SISTEMAS ARGENTINA S.A.,30-70047037-3,,CIUDAD AUTONOMA BUENOS AIRES,CIUDAD DE BUENOS AIRES,no
EN TUS MANOS S.R.L.,30-71008418-8,(011  )3551-8888,CABA,CIUDAD DE BUENOS AIRES,si
ENAEX ARGENTINA S.R.L.,30-71018710-6,(011  )3576-1964,CABA,CIUDAD DE BUENOS AIRES,si
ENDRESS+HAUSER ARGENTINA S.A.,30-69170010-7,(011  )4763-4428,CABA,CIUDAD DE BUENOS AIRES,si
ENERSYS S.R.L.,30-70742240-4,,CIUDAD AUTONOMA BUENOS AIRES,CIUDAD DE BUENOS AIRES,no
ENERTEL S.A.,30-68352590-8,(011  )4756-5290,MUNRO,BUENOS AIRES,si
ENOFIR SYSTEMS S.A.,30-70907682-1,(011  )5769-7313,CABA,CIUDAD DE BUENOS AIRES,si
ENTERASYS NETWORKS DE ARGENTINA S.A.,33-67817269-9,(011  )4314-0757,CIUDAD AUTONOMA BUENOS AIRES,CIUDAD DE BUENOS AIRES,si
EPSON ARGENTINA S.R.L.,30-61410471-2,(011  )5167-0300,CABA,CIUDAD DE BUENOS AIRES,si
EQUAL GROUP S.R.L.,30-70869539-0,(011  )5128-0800,CABA,CIUDAD DE BUENOS AIRES,si
EQUITEL S.A.,30-55762728-2,(011  )4331-1434,CIUDAD DE BUENOS AIRES,CAPITAL FEDERAL,si
ERB S.A.,30-71499651-3,(0351 )701 -0380,TACURAL,SANTA FE,si
ERICNET S.A.,30-70839476-5,(011  )4519-8700,CABA,CIUDAD DE BUENOS AIRES,si
ERICTEL M2M ARGENTINA S.A.,30-71209762-7,(011  )4515-5100,CABA,CIUDAD DE BUENOS AIRES,si
"ERRA, DANIEL HECTOR",20-12424153-8,(011  )5690-7006,CABA,CIUDAD DE BUENOS AIRES,si
ERROR CARGA,0-00014445-0,(011  )4862-0018,CIUDAD AUTONOMA BUENOS AIRES,CIUDAD DE BUENOS AIRES,si
ERROR CARGA,0-00014446-0,(011  )4374-7275,CIUDAD DE BUENOS AIRES,CAPITAL FEDERAL,si
ERROR CARGA,0-00014447-0,,CIUDAD DE BUENOS AIRES,CAPITAL FEDERAL,no
ERTACH S.A.,30-69553800-2,(011  )4000-3000,CIUDAD AUTONOMA BUENOS AIRES,CIUDAD DE BUENOS AIRES,si
ESCANDINAVIA DEL PLATA S.A.,30-70924647-6,(011  )5550-4000,CABA,CIUDAD DE BUENOS AIRES,si
ESI ELECTRONICA S.A.,30-57021492-2,(011  )4781-1181,CIUDAD DE BUENOS AIRES,CAPITAL FEDERAL,si
ESSEN ALUMINIO S.A.,30-50603846-0,(03462)43  -5444,VENADO TUERTO,SANTA FE,si
ESTABLECIMIENTO LOS CALVOS S.R.L.,30-50216916-1,,CIUDAD DE BUENOS AIRES,CAPITAL FEDERAL,no
ETERCOR SOCIEDAD ANONIMA,33-56938900-9,,CABA,CIUDAD DE BUENOS AIRES,no
ETIQUETAS INTELIGENTES S.A.,30-71938508-3,(011  )3247-8705,CABA,CIUDAD DE BUENOS AIRES,si
"EUCLIDES, MIGUEL ANGEL",20-10454926-9,(011  )6795-1025,CABA,CIUDAD DE BUENOS AIRES,si
EXCELCOM S.A.,33-71019188-9,(011  )4384-5356,CIUDAD AUTONOMA BUENOS AIRES,CIUDAD DE BUENOS AIRES,si
EXCLUSIVE PRODUCTS S.A.,30-67910494-9,(011  )4323-9935,CIUDAD AUTONOMA BUENOS AIRES,CIUDAD DE BUENOS AIRES,si
EXEMYS S.R.L.,30-70812020-7,(011  )4585-7585,CABA,CIUDAD DE BUENOS AIRES,si
EXIMAR INTL S.A.U.,30-71079356-1,(011  )5628-1000,CABA,CIUDAD DE BUENOS AIRES,si
EXINTRADER S.A.,30-64698450-1,,CABA,CIUDAD DE BUENOS AIRES,no
EXO S.A.,30-57960755-2,(011  )4000-7041,CABA,CIUDAD DE BUENOS AIRES,si
EXPORIALE S.A.,30-63619425-1,(011  )4470-0444,CIUDAD DE BUENOS AIRES,CAPITAL FEDERAL,si
EXTEL S.A.,30-61552058-2,(011  )4371-7191,CIUDAD DE BUENOS AIRES,CAPITAL FEDERAL,si
EXTERNAL MARKET S.R.L.,30-61604421-0,(011  )4865-5921,CIUDAD DE BUENOS AIRES,CAPITAL FEDERAL,si
EYT S.A.,30-66181703-4,(011  )4958-3565,CIUDAD DE BUENOS AIRES,CAPITAL FEDERAL,si
FABRICA AUSTRAL DE PRODUCTOS ELECTRICOS SOCIEDAD ANONIMA,30-59128733-4,,CABA,CIUDAD DE BUENOS AIRES,no
FALABELLA S.A.,30-65572582-9,(011  )4710-5600,CABA,CIUDAD DE BUENOS AIRES,si
"FALCOMER, PABLO DOMINGO",20-15204239-7,(0237 )463 -1150,MORENO,BUENOS AIRES,si
FAMAR FUEGUINA S.A.,30-59706676-3,(011  )4858-8800,RIO GRANDE,"TIERRA DEL FUEGO, ANTARTIDA E ISLAS DEL ATLANTICO SUR",si
FAMMIE FAMI S.A.,30-50279584-4,(011  )4635-5445,CABA,CIUDAD DE BUENOS AIRES,si
FCA AUTOMOBILES ARGENTINA S.A.,30-68245096-3,,CABA,BUENOS AIRES,no
FEDERACION MEDICA DE LA PROVINCIA DE BUENOS AIRES,30-53367581-2,,LA PLATA,BUENOS AIRES,no
"FERNANDEZ, EDUARDO ANTONIO",20-07778690-3,,CIUDAD AUTONOMA BUENOS AIRES,CIUDAD DE BUENOS AIRES,no
"FERNANDEZ, MARCELO FABIAN",23-20817044-9,(011  )5729-1555,CABA,CIUDAD DE BUENOS AIRES,si
FIBERHOME ARGENTINA S.A.,30-71548576-8,(011  )4312-6576,CABA,CIUDAD DE BUENOS AIRES,si
FIBRA ARGENTINA S.C.,30-57618159-7,,CIUDAD DE BUENOS AIRES,CAPITAL FEDERAL,no
FIESA S.R.L.,30-70397668-5,(011  )4551-5100,CIUDAD AUTONOMA BUENOS AIRES,CIUDAD DE BUENOS AIRES,si
FILOBIOSIS S.A.,30-64039837-6,(011  )4372-3426,CIUDAD AUTONOMA BUENOS AIRES,CIUDAD DE BUENOS AIRES,si
FINNING ARGENTINA S.A.,30-64722711-9,,CABA,CIUDAD DE BUENOS AIRES,no
FITNET SOCIEDAD ANONIMA,30-70779183-3,(011  )4292-3000,CABA,CIUDAD DE BUENOS AIRES,si
FIXON GROUP S.A.,30-71182792-3,(0351 )705 -6717,CORDOBA,CORDOBA,si
FLAGLER STREET S.A.,30-64558664-2,,CIUDAD AUTONOMA BUENOS AIRES,CIUDAD DE BUENOS AIRES,no
FLANKERS COMERCIO EXTERIOR S.A.,30-70809159-2,(011  )5219-4260,CABA,CIUDAD DE BUENOS AIRES,si
FORD ARGENTINA S.C.A.,30-67851968-1,,GENERAL PACHECO,BUENOS AIRES,no
"FORMENTO, ALBERTO LUIS",20-07646715-4,(0351 )422 -3115,CORDOBA,CORDOBA,si
FOXMAN FUEGUINA S.A.,30-62992493-7,(011  )4686-1071,CABA,CIUDAD DE BUENOS AIRES,si
FRAMONT S.A.,30-61024391-2,,CIUDAD DE BUENOS AIRES,CAPITAL FEDERAL,no
FRANCISCO MARTIN LASERNA S.A.,30-52976933-0,,FLORIDA,BUENOS AIRES,no
FRAVEGA S.A.C.I. E I.,30-52687424-9,(011  )4959-6600,CABA,CIUDAD DE BUENOS AIRES,si
FRIMETAL S.A.,30-59697015-6,(0341 )483 -5743,ROSARIO,SANTA FE,si
FS24 S.R.L.,30-71008071-9,,CABA,CIUDAD DE BUENOS AIRES,no
FUJITSU DO BRASIL LIMITADA SUCURSAL ARGENTINA,30-71198384-4,(011  )4850-1217,CABA,CIUDAD DE BUENOS AIRES,si
FURUKAWA ELECTRIC LATAM S.A.,30-70790405-0,(0800 )800 -9701,CABA,CIUDAD DE BUENOS AIRES,si
FUTURE GRAPHICS LLC ARGENTINA S.A.,30-70823800-3,(011  )5582-6171,CABA,CIUDAD DE BUENOS AIRES,si
G Y P NEW TREE S.A.,30-69837610-0,(011  )5171-4000,CABA,CIUDAD DE BUENOS AIRES,si
GALANDER S.A.,30-69891427-7,(011  )4943-3366,CIUDAD AUTONOMA BUENOS AIRES,CIUDAD DE BUENOS AIRES,si
GALANDER S.R.L.,30-60166436-0,(0351 )456 -3333,CORDOBA,CORDOBA,si
"GALANDER, JORGE ALBERTO",20-08620138-1,(011  )4827-4156,CIUDAD AUTONOMA BUENOS AIRES,CIUDAD DE BUENOS AIRES,si
GALILEO LA RIOJA S.A.,30-58746879-0,(011  )4904-1684,CIUDAD AUTONOMA BUENOS AIRES,CIUDAD DE BUENOS AIRES,si
"GARBARINO SOCIEDAD ANONIMA, INDUSTRIAL, COMERCIAL E INMOBILIARIA",30-54008821-3,,CABA,CIUDAD DE BUENOS AIRES,no
GARMIN ARGENTINA S.R.L.,33-71236921-9,(011  )4953-4880,CIUDAD AUTONOMA BUENOS AIRES,CIUDAD DE BUENOS AIRES,si
GASEI SOCIEDAD ANONIMA,30-58752434-8,(011  )4303-0480,CABA,CIUDAD DE BUENOS AIRES,si
GB SISTEMAS S.A.,30-69877089-5,,MENDOZA,MENDOZA,no
GC GLOBAL COMUNICATIONS S.A.,33-71114530-9,(011  )6970-0200,CIUDAD AUTONOMA BUENOS AIRES,CIUDAD DE BUENOS AIRES,si
GCS TELECOMUNICACIONES Y SERVICIOS S.R.L.,30-71167520-1,(011  )4444-2664,CABA,CIUDAD DE BUENOS AIRES,si
GE CONSUMER & INDUSTRIAL ARGENTINA S.A.,30-67992375-3,(011  )5556-3322,CABA,CIUDAD DE BUENOS AIRES,si
GE HEALTHCARE ARGENTINA S.A.,33-65323593-9,(011  )5757-2120,CABA,CIUDAD DE BUENOS AIRES,si
GE SENSING & INSPECTION TECHNOLOGIES GMBH,30-70855947-0,(011  )2171-1445,CABA,CIUDAD DE BUENOS AIRES,si
GEA FARM TECHNOLOGIES ARGENTINA S.R.L.,33-69558652-9,(011  )4147-9080,TORTUGUITAS,BUENOS AIRES,si
GEDETE S.R.L.,30-61207057-8,(011  )4613-2338,CIUDAD DE BUENOS AIRES,CAPITAL FEDERAL,si
GEMED S.R.L.,30-70793256-9,,CABA,CIUDAD DE BUENOS AIRES,no
GEN ROD S.A.,30-67854721-9,(011  )5298-7200,BURZACO,BUENOS AIRES,si
GENBAND S.R.L.,30-71137733-2,(011  )4953-4960,CIUDAD AUTONOMA BUENOS AIRES,CIUDAD DE BUENOS AIRES,si
GENERAL ELECTRIC INTERNATIONAL INC.,30-60906894-5,(011  )5556-2050,CABA,CIUDAD DE BUENOS AIRES,si
GENERAL INDUSTRIES ARGENTINA S.A.,30-50539550-2,,FLORIDA OESTE,BUENOS AIRES,no
GENERAL MOTORS DE ARGENTINA S.R.L.,30-66207168-0,(0341 )330 -8895,VICENTE LOPEZ,CIUDAD DE BUENOS AIRES,si
GENIUS TOUCH S.A.,30-71550853-9,(011  )4651-2762,CABA,CIUDAD DE BUENOS AIRES,si
GEOCOM S.A.,30-70843240-3,,CIUDAD AUTONOMA BUENOS AIRES,CIUDAD DE BUENOS AIRES,no
GEOSISTEMAS S.R.L.,30-61712720-9,(011  )4334-9218,CIUDAD AUTONOMA BUENOS AIRES,CIUDAD DE BUENOS AIRES,si
GEOTEK ARGENTINA S.A.,30-68079912-8,(011  )4315-6230,CIUDAD AUTONOMA BUENOS AIRES,CIUDAD DE BUENOS AIRES,si
GETTERSON ARGENTINA S.A.I. Y C.,30-50522763-4,(011  )6777-6034,CIUDAD AUTONOMA BUENOS AIRES,CIUDAD DE BUENOS AIRES,si
GIGASET COMMUNICATIONS ARGENTINA S.R.L.,30-71064922-3,(011  )4340-8400,CIUDAD AUTONOMA BUENOS AIRES,CIUDAD DE BUENOS AIRES,si
GIRBOY S.R.L.,30-71013381-2,(011  )4544-1448,CIUDAD AUTONOMA BUENOS AIRES,CIUDAD DE BUENOS AIRES,si
GLOBAL COMMUNICATIONS LATINOAMERICA S.R.L.,30-71555949-4,(011  )5263-0283,CABA,CIUDAD DE BUENOS AIRES,si
GLOBAL COMUNICACIONES S.A.,30-63617122-7,(011  )4951-4072,CIUDAD AUTONOMA BUENOS AIRES,CIUDAD DE BUENOS AIRES,si
GLOBAL DATA INTERNATIONAL S.A.,33-70814856-9,(011  )4343-6394,CIUDAD AUTONOMA BUENOS AIRES,CIUDAD DE BUENOS AIRES,si
GLOBAL ELECTRONICA S.R.L.,30-60767554-2,,CIUDAD DE BUENOS AIRES,CAPITAL FEDERAL,no
GLOBAL SOLUTION S.A.,30-70988327-1,(011  )4918-4138,CABA,CIUDAD DE BUENOS AIRES,si
GLOBAL TELECOMMUNICATIONS SERVICES S.A.,30-70785694-3,(011  )5238-2280,CIUDAD AUTONOMA BUENOS AIRES,CIUDAD DE BUENOS AIRES,si
GLOBAL THINK TECHNOLOGY S.A.,30-70901693-4,(0351 )644 -4780,CORDOBA,CORDOBA,si
GLOBAL TRANS S.R.L.,30-71056697-2,(0264 )436 -4581,SAN JUAN,SAN JUAN,si
GLOBALSTAR ARGENTINA S.R.L.,30-71590189-3,(011  )4872-1717,CABA,CIUDAD DE BUENOS AIRES,si
GLOBO GROUP S.A.,33-71059142-9,(011  )4342-8369,CABA,CIUDAD DE BUENOS AIRES,si
GMRA S.A.,30-71562186-6,(011  )4057-9143,CABA,CIUDAD DE BUENOS AIRES,si
GMT SOLUTIONS S.R.L.,30-71623780-6,(011  )6254-2260,CABA,CIUDAD DE BUENOS AIRES,si
GO MARKET S.A.,30-70878051-7,(011  )4586-0012,CIUDAD AUTONOMA BUENOS AIRES,CIUDAD DE BUENOS AIRES,si
"GODOY, CARLOS EZEQUIEL",20-26801266-5,(011  )6181-4998,CASTELAR,BUENOS AIRES,si
GOLDMUND S.A.,30-70860387-9,(011  )6179-0130,CABA,CIUDAD DE BUENOS AIRES,si
"GOMEZ, LEANDRO SEBASTIAN",20-26522695-8,(011  )6274-0800,CABA,CIUDAD DE BUENOS AIRES,si
GONGZHU TECH DEVELOPMENT S.A.,30-71010255-0,(011  )2056-3931,CABA,CIUDAD DE BUENOS AIRES,si
GOWEX ARGENTINA S.A.,30-71159524-0,(011  )4590-2370,CIUDAD AUTONOMA BUENOS AIRES,CIUDAD DE BUENOS AIRES,si
GPV S.A.,30-50416354-3,(011  )4006-7087,CABA,CIUDAD DE BUENOS AIRES,si
GRADICOM S.A.,30-70719506-8,(011  )4943-6999,CABA,CIUDAD DE BUENOS AIRES,si
"GRATZ, JAVIER BERNARDO",20-16892521-3,(011  )4957-4044,CABA,CIUDAD DE BUENOS AIRES,si
GREAT CARS S.A.,30-71516251-9,(03327)453 -0500,TORTUGUITAS,BUENOS AIRES,si
GREENWORKING S.A.,30-71106876-3,(011  )3974-3968,RAMOS MEJIA,BUENOS AIRES,si
GRIENSU S.A.,30-52649846-8,(011  )4342-8819,CABA,CIUDAD DE BUENOS AIRES,si
"GROLL, DIEGO ARIEL",20-25989386-1,(011  )2153-1527,CABA,CIUDAD DE BUENOS AIRES,si
GRUPO LINDE GAS ARGENTINA S.A.,30-50139538-9,,AVELLANEDA,BUENOS AIRES,no
GRUPO NUCLEO S.A.,30-70933244-5,(011  )5091-9999,CABA,CIUDAD DE BUENOS AIRES,si
GRUPO PROPELLER SOCIEDAD ANONIMA,30-70878416-4,(011  )3141-5670,CABA,CIUDAD DE BUENOS AIRES,si
GRUPO SIMPA S.A.,30-62832360-3,(011  )4708-3300,VILLA ADELINA,BUENOS AIRES,si
GRUPOS INTEGRADOS S.A.,30-71037341-4,(011  )4613-0698,CABA,CIUDAD DE BUENOS AIRES,si
GTE S.R.L.,30-70869092-5,(011  )4896-0060,CABA,CIUDAD DE BUENOS AIRES,si
GULARO S.A.,30-51714969-8,(011  )4726-7800,CABA,CIUDAD DE BUENOS AIRES,si
GUNPLEX S.C.A.,30-51693066-3,(011  )4326-8982,CIUDAD DE BUENOS AIRES,CAPITAL FEDERAL,si
"GUTKIN, NESTOR JULIO",20-14769406-8,(011  )5217-9931,CABA,CIUDAD DE BUENOS AIRES,si
GUZMAN NACICH S.A.I.C.,30-63610183-0,(011  )4302-5620,CIUDAD AUTONOMA BUENOS AIRES,CIUDAD DE BUENOS AIRES,si
H.D.C. INTERNATIONAL S.A.,30-70828666-0,,CABA,CIUDAD DE BUENOS AIRES,no
HALE CONSTRUCCIONES S.R.L.,30-70326873-7,(011  )5291-9741,CIUDAD AUTONOMA BUENOS AIRES,CIUDAD DE BUENOS AIRES,si
HAND - CELL S.A.,30-70196593-7,(011  )5217-0876,CABA,CIUDAD DE BUENOS AIRES,si
HAWK TRACKER S.A.,30-70720642-6,(011  )4837-9525,VICENTE LOPEZ,BUENOS AIRES,si
HEADCOMM S.A.,30-70505063-1,(011  )4813-0715,CABA,CIUDAD DE BUENOS AIRES,si
HELLERMANNTYTON S.R.L.,30-59515403-7,,CIUDAD DE BUENOS AIRES,CAPITAL FEDERAL,no
"HERBER, SAMUEL FIDEL",20-04739518-7,,CIUDAD AUTONOMA BUENOS AIRES,CIUDAD DE BUENOS AIRES,no
HERBY MARINA S.A.,30-60563602-7,(011  )4312-7233,CIUDAD DE BUENOS AIRES,CAPITAL FEDERAL,si
HESCO S.A.,30-71696584-4,(011  )6768-6445,CABA,CIUDAD DE BUENOS AIRES,si
HEWLETT PACKARD ARGENTINA S.R.L.,30-54203455-2,,CABA,CIUDAD DE BUENOS AIRES,no
HID S.A.,30-61783980-2,(011  )4855-5984,CABA,CIUDAD DE BUENOS AIRES,si
HIGH TECH S.R.L.,30-68906438-4,,CIUDAD DE BUENOS AIRES,CAPITAL FEDERAL,no
HIKARI S.A.,30-56849877-8,(011  )5032-2800,CABA,CIUDAD DE BUENOS AIRES,si
HIKVISION ARGENTINA S.R.L.,30-71672322-0,(011  )2380-1641,FLORIDA,BUENOS AIRES,si
HILSON S.R.L.,30-70857804-1,(011  )4773-4833,CABA,CIUDAD DE BUENOS AIRES,si
HILTI ARGENTINA S.R.L.,30-65696323-5,(011  )4721-4400,CABA,CIUDAD DE BUENOS AIRES,si
HIPRA ARGENTINA S.A.,30-71188472-2,(011  )2835-6047,LA PLATA,CIUDAD DE BUENOS AIRES,si
HISPASAT S.A. SUCURSAL ARGENTINA,30-70847889-6,(011  )4470-9454,CABA,CIUDAD DE BUENOS AIRES,si
HITACHI ENERGY ARGENTINA S.A.U.,30-71644180-2,(011  )6026-5238,CABA,CIUDAD DE BUENOS AIRES,si
"HOCHNADEL, LUIS NORBERTO",20-12676240-3,(011  )4763-7204,BOULOGNE,BUENOS AIRES,si
"HOCHNADEL, RICARDO JOSE",20-14452719-5,(011  )4718-3014,FLORIDA,BUENOS AIRES,si
HOMOLOGAR S.R.L.,30-71572744-3,,CABA,BUENOS AIRES,no
HONDA MOTOR DE ARGENTINA S.A.,30-57754677-7,(011  )4889-9877,CAMPANA,BUENOS AIRES,si
HONEYWELL S.A.I.C.,30-58052350-8,,CABA,CIUDAD DE BUENOS AIRES,no
HORIZON TRADING S.A.,30-71493161-6,(011  )2319-1429,CABA,CIUDAD DE BUENOS AIRES,si
HOSPITAL PUBLICO DESCENTRALIZADO DR. GUILLERMO RAWSON,30-70949057-1,(0264 )422 -4005,SAN JUAN,SAN JUAN,si
HOTEL VERSALLES,30-54673689-6,,CIUDAD AUTONOMA BUENOS AIRES,CIUDAD DE BUENOS AIRES,no
HOTELES FIRMAT S.A.,30-70833657-9,,CIUDAD DE BUENOS AIRES,CAPITAL FEDERAL,no
HP INC ARGENTINA S.R.L.,30-71480937-3,,CABA,CIUDAD DE BUENOS AIRES,no
"HREN, JORGE RICARDO",23-11112527-9,(011  )4288-1346,BANFIELD,BUENOS AIRES,si
HUACO S.A.,30-70873181-8,(011  )4796-1901,CIUDAD AUTONOMA BUENOS AIRES,CIUDAD DE BUENOS AIRES,si
HUAWEI TECH. INVESTMENT CO. LTD.,30-70768991-5,(011  )4105-0500,CABA,CIUDAD DE BUENOS AIRES,si
HUGHES DE ARGENTINA S.R.L.,33-71621931-9,(011  )4315-2900,CABA,CIUDAD DE BUENOS AIRES,si
HUNTER DOUGLAS ARGENTINA S.A.,30-68077923-2,(011  )4709-8713,VILLA MARTELLI,BUENOS AIRES,si
HYNET S.A.,30-70713941-9,(011  )5128-1000,CIUDAD AUTONOMA BUENOS AIRES,CIUDAD DE BUENOS AIRES,si
HYUNDAI MOTOR ARGENTINA S.A.,30-57409621-5,(011  )4799-0500,OLIVOS,BUENOS AIRES,si
I SYSTEMS SERVICIOS TELEMATICOS S.R.L.,30-70991013-9,(011  )4807-2660,CIUDAD AUTONOMA BUENOS AIRES,CIUDAD DE BUENOS AIRES,si
I.J.C.V. S.R.L.,30-62247845-1,(0351 )489 -3170,CORDOBA,CORDOBA,si
I.S.P GROUP S.R.L.,30-71113065-5,,CORONEL SUAREZ,BUENOS AIRES,no
IATEC S.A. (INDUSTRIA AUSTRAL DE TECNOLOGIA S.A.),30-71077905-4,(011  )6394-2800,CABA,CIUDAD DE BUENOS AIRES,si
IATEL S.A.,30-50498082-7,,JOSE LEON SUAREZ,BUENOS AIRES,no
IBERCOM MULTICOM S.A.,30-68210180-2,(011  )4634-0036,CIUDAD AUTONOMA BUENOS AIRES,CIUDAD DE BUENOS AIRES,si
IBM ARGENTINA S.A.,30-50396126-8,(011  )4319-6581,CIUDAD AUTONOMA BUENOS AIRES,CIUDAD DE BUENOS AIRES,si
ICAP SOCIEDAD ANONIMA,30-50382598-4,(011  )4865-3755,CABA,CIUDAD DE BUENOS AIRES,si
ID GROUP S.A.,30-70805310-0,,CABA,CIUDAD DE BUENOS AIRES,no
IDEC S.A.,33-70831074-9,(011  )4328-3198,CABA,CIUDAD DE BUENOS AIRES,si
IDENTIMAX S.A.,30-70962583-3,(011  )4564-5200,CABA,CIUDAD DE BUENOS AIRES,si
IDT CORPORATION DE ARGENTINA S.A.,30-70739780-9,,CABA,CIUDAD DE BUENOS AIRES,no
